FileName,mNodeHash,mQuestHash,QuestType,isCollectionQuest,isKeyQuest,
ocean\part\node\node_info.xml,2278830943,538553008,Normal,true,false,
ocean\part\node\node_info.xml,2278830943,3104897802,Normal,true,false,
ocean\part\node\node_info.xml,2278830943,3457665948,Normal,false,false,
ocean\part\node\node_info.xml,2278830943,1349738047,Normal,false,false,
ocean\part\node\node_info.xml,2278830943,661941929,Normal,false,false,
ocean\part\node\node_info.xml,2278830943,3195879187,Normal,false,false,
ocean\part\node\node_info.xml,2278830943,3380219781,Normal,true,true,
ocean\part\node\node_info.xml,2278830943,1506087444,Normal,true,true,
ocean\part\node\node_info.xml,2278830943,784474754,Subjugation,false,false,
ocean\part\node\node_info.xml,2278830943,1308994407,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,613733890,Normal,false,false,
ocean\part\node\node_info.xml,1857525354,3181217720,Normal,false,false,
ocean\part\node\node_info.xml,1857525354,3399137070,Normal,false,false,
ocean\part\node\node_info.xml,1857525354,1425941133,Normal,false,false,
ocean\part\node\node_info.xml,1857525354,603525659,Normal,false,false,
ocean\part\node\node_info.xml,1857525354,3136308129,Normal,false,false,
ocean\part\node\node_info.xml,1857525354,3455546167,Normal,true,false,
ocean\part\node\node_info.xml,1857525354,1565028006,Normal,true,false,
ocean\part\node\node_info.xml,1857525354,709844528,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,1250482133,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,1032841027,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,2760292089,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,3548481135,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,1306858444,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,987898714,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,2750116576,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,3572253302,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,1146314727,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,861171569,Subjugation,false,false,
ocean\part\node\node_info.xml,1857525354,1638237206,Subjugation,false,false,
ocean\part\node\node_info.xml,2159671110,655360620,Normal,false,false,
ocean\part\node\node_info.xml,2159671110,3189330902,Normal,false,false,
ocean\part\node\node_info.xml,2159671110,3374211904,Normal,false,false,
ocean\part\node\node_info.xml,2159671110,1467676387,Normal,false,false,
ocean\part\node\node_info.xml,2159671110,545113717,Normal,true,false,
ocean\part\node\node_info.xml,2159671110,3111425999,Normal,true,false,
ocean\part\node\node_info.xml,2159671110,3463685977,Normal,true,false,
ocean\part\node\node_info.xml,2159671110,1590475464,Normal,true,false,
ocean\part\node\node_info.xml,536100713,1740230752,Normal,false,false,
ocean\part\node\node_info.xml,536100713,4272980442,Normal,false,false,
ocean\part\node\node_info.xml,536100713,2310517068,Normal,false,false,
ocean\part\node\node_info.xml,536100713,399713519,Normal,false,false,
ocean\part\node\node_info.xml,536100713,1624511609,Normal,false,false,
ocean\part\node\node_info.xml,536100713,4192028099,Normal,false,false,
ocean\part\node\node_info.xml,536100713,2396681557,Normal,false,false,
ocean\part\node\node_info.xml,536100713,509962436,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,1719384663,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,4285721581,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,2289425275,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,370233048,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,1628864078,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,4162793460,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,2400722786,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,531038963,Normal,false,false,
ocean\part\node\node_info.xml,1760759807,1755329125,Subjugation,false,false,
ocean\part\node\node_info.xml,1760759807,141015936,Subjugation,false,false,
ocean\part\node\node_info.xml,2173741770,1660339941,Normal,false,false,
ocean\part\node\node_info.xml,2173741770,4227831647,Normal,false,false,
ocean\part\node\node_info.xml,2173741770,2365106121,Normal,false,false,
ocean\part\node\node_info.xml,2173741770,312226410,Normal,false,false,
ocean\part\node\node_info.xml,2173741770,1704657660,Normal,false,false,
ocean\part\node\node_info.xml,2173741770,4237448006,Normal,false,false,
ocean\part\node\node_info.xml,2173741770,2341823440,Normal,false,false,
ocean\part\node\node_info.xml,2173741770,455769665,Normal,false,false,
ocean\part\node\node_info.xml,412744560,1622177980,Normal,false,false,
ocean\part\node\node_info.xml,412744560,4189661446,Normal,false,false,
ocean\part\node\node_info.xml,412744560,2394823056,Normal,false,false,
ocean\part\node\node_info.xml,412744560,282758195,Normal,false,false,
ocean\part\node\node_info.xml,412744560,1742584997,Normal,false,false,
ocean\part\node\node_info.xml,412744560,4275367199,Normal,false,false,
ocean\part\node\node_info.xml,412744560,2312363401,Normal,false,false,
ocean\part\node\node_info.xml,412744560,426557464,Normal,false,false,
ocean\part\node\node_info.xml,1872677862,1634865803,Normal,false,false,
ocean\part\node\node_info.xml,1872677862,4168827697,Normal,false,false,
ocean\part\node\node_info.xml,1872677862,2407297959,Normal,false,false,
ocean\part\node\node_info.xml,1872677862,286844420,Normal,false,false,
ocean\part\node\node_info.xml,1872677862,1713362578,Normal,false,false,
ocean\part\node\node_info.xml,1872677862,4279666472,Normal,false,false,
ocean\part\node\node_info.xml,1872677862,2282862526,Normal,false,false,
ocean\part\node\node_info.xml,1872677862,414100015,Normal,false,false,
ocean\part\node\node_info.xml,4280407671,1781421494,Normal,false,false,
ocean\part\node\node_info.xml,4280407671,4079420428,Normal,false,false,
ocean\part\node\node_info.xml,4280407671,2216703130,Normal,false,false,
ocean\part\node\node_info.xml,4280407671,440705337,Normal,false,false,
ocean\part\node\node_info.xml,4280407671,1833144751,Normal,false,false,
ocean\part\node\node_info.xml,4280407671,4098539541,Normal,false,false,
ocean\part\node\node_info.xml,4280407671,2202923139,Normal,false,false,
ocean\part\node\node_info.xml,4280407671,334687506,Normal,false,false,
ocean\part\node\node_info.xml,2284250849,1810644865,Normal,false,false,
ocean\part\node\node_info.xml,2284250849,4075122235,Normal,false,false,
ocean\part\node\node_info.xml,2284250849,2246205101,Normal,false,false,
ocean\part\node\node_info.xml,2284250849,461818638,Normal,false,false,
ocean\part\node\node_info.xml,2284250849,1820457880,Normal,false,false,
ocean\part\node\node_info.xml,2284250849,4119374370,Normal,false,false,
ocean\part\node\node_info.xml,2284250849,2190449332,Normal,false,false,
ocean\part\node\node_info.xml,2284250849,305170213,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,3699467115,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,1166553809,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,848233031,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,2901120996,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,3689719666,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,1122367176,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,904054366,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,2774391759,Normal,false,false,
ocean\part\node\node_info.xml,3907088132,3529173849,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,2996658876,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,3315225130,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,1553138576,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,731132678,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,3052447397,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,3271005747,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,1543423881,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,754579231,Subjugation,false,false,
ocean\part\node\node_info.xml,3907088132,3158764174,Subjugation,false,false,
ocean\part\node\node_info.xml,116330024,3741693701,Normal,false,false,
ocean\part\node\node_info.xml,116330024,1175250623,Normal,false,false,
ocean\part\node\node_info.xml,116330024,822859305,Normal,false,false,
ocean\part\node\node_info.xml,116330024,2943304586,Normal,false,false,
ocean\part\node\node_info.xml,116330024,3630723868,Normal,false,false,
ocean\part\node\node_info.xml,116330024,1096884902,Normal,false,false,
ocean\part\node\node_info.xml,116330024,912658992,Normal,false,false,
ocean\part\node\node_info.xml,116330024,2799243169,Normal,false,false,
ocean\part\node\node_info.xml,1911045822,3737640242,Normal,false,false,
ocean\part\node\node_info.xml,1911045822,1204718728,Normal,false,false,
ocean\part\node\node_info.xml,1911045822,818527262,Normal,false,false,
ocean\part\node\node_info.xml,1911045822,2930583997,Normal,false,false,
ocean\part\node\node_info.xml,1911045822,3651803435,Normal,false,false,
ocean\part\node\node_info.xml,1911045822,1084442769,Normal,false,false,
ocean\part\node\node_info.xml,1911045822,933525511,Normal,false,false,
ocean\part\node\node_info.xml,1911045822,2803590550,Normal,false,false,
ocean\part\node\node_info.xml,2559286155,3662324096,Normal,false,false,
ocean\part\node\node_info.xml,2559286155,1128525882,Normal,false,false,
ocean\part\node\node_info.xml,2559286155,876921004,Normal,false,false,
ocean\part\node\node_info.xml,2559286155,2854245647,Normal,false,false,
ocean\part\node\node_info.xml,2559286155,3710346649,Normal,false,false,
ocean\part\node\node_info.xml,2559286155,1143878691,Normal,false,false,
ocean\part\node\node_info.xml,2559286155,858326197,Normal,false,false,
ocean\part\node\node_info.xml,2559286155,2744523044,Normal,false,false,
ocean\part\node\node_info.xml,25348657,3624673241,Normal,false,false,
ocean\part\node\node_info.xml,25348657,1090866787,Normal,false,false,
ocean\part\node\node_info.xml,25348657,906133237,Normal,false,false,
ocean\part\node\node_info.xml,25348657,2825317206,Normal,false,false,
ocean\part\node\node_info.xml,25348657,3747732416,Normal,false,false,
ocean\part\node\node_info.xml,25348657,1181256314,Normal,false,false,
ocean\part\node\node_info.xml,25348657,829405932,Normal,false,false,
ocean\part\node\node_info.xml,25348657,2714806141,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,1524234704,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,3285231722,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,3034028284,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,716377439,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,1572093385,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,3300748403,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,3015335141,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,587546996,Normal,false,false,
ocean\part\node\node_info.xml,3694943984,1409446370,Subjugation,false,false,
ocean\part\node\node_info.xml,3694943984,885389319,Subjugation,false,false,
ocean\part\node\node_info.xml,2872798822,1528533991,Normal,false,false,
ocean\part\node\node_info.xml,2872798822,3256009309,Normal,false,false,
ocean\part\node\node_info.xml,2872798822,3038114507,Normal,false,false,
ocean\part\node\node_info.xml,2872798822,728852328,Normal,false,false,
ocean\part\node\node_info.xml,2872798822,1551259646,Normal,false,false,
ocean\part\node\node_info.xml,2872798822,3313436228,Normal,false,false,
ocean\part\node\node_info.xml,2872798822,2994222802,Normal,false,false,
ocean\part\node\node_info.xml,2872798822,583478083,Normal,false,false,
ocean\part\node\node_info.xml,895482821,1582597474,Normal,false,false,
ocean\part\node\node_info.xml,895482821,3344815320,Normal,false,false,
ocean\part\node\node_info.xml,895482821,2958746702,Normal,false,false,
ocean\part\node\node_info.xml,895482821,775844333,Normal,false,false,
ocean\part\node\node_info.xml,895482821,1496924539,Normal,false,false,
ocean\part\node\node_info.xml,895482821,3224375489,Normal,false,false,
ocean\part\node\node_info.xml,895482821,3073843287,Normal,false,false,
ocean\part\node\node_info.xml,895482821,663240134,Normal,false,false,
ocean\part\node\node_info.xml,1113115475,1603727189,Normal,false,false,
ocean\part\node\node_info.xml,1113115475,3332357871,Normal,false,false,
ocean\part\node\node_info.xml,1113115475,2979565177,Normal,false,false,
ocean\part\node\node_info.xml,1113115475,805051354,Normal,false,false,
ocean\part\node\node_info.xml,1113115475,1492855628,Normal,false,false,
ocean\part\node\node_info.xml,1113115475,3253893878,Normal,false,false,
ocean\part\node\node_info.xml,1113115475,3069528672,Normal,false,false,
