FileName,mQuestID,mQuestName,mQuestType,mDayNight,
eternal.xml,2574015882,"【危険度２】疾風幻雷の証
悠久のはじまり",7,0,
eternal.xml,6622256,"【危険度３】疾風幻雷の証
侵入者を狙う赤眼",7,0,
eternal.xml,2002926758,"【危険度５】疾風幻雷の証
晴天の雷撃",7,0,
eternal.xml,3909527813,"【危険度６】疾風幻雷の証
全てを蝕む黒",7,0,
eternal.xml,2650904979,"【危険度６】疾風幻雷の証
悠久の怪奇",7,0,
eternal.xml,118016041,"【危険度７】疾風幻雷の証
悠久の冥晶封印",7,0,
eternal.xml,1880094911,"【危険度８】疾風幻雷の証
止まぬ爆発",7,0,
eternal.xml,3769689390,"【危険度８】疾風幻雷の証
月霞を射る者",7,0,
eternal.xml,2545407416,"【危険度８】疾風幻雷の証
雷鎚の練者",7,0,
eternal.xml,4151336029,"【危険度８】疾風幻雷の証
証を守りし幻獣",7,0,
eternal.xml,2155310283,"【危険度5】一触即爆の証
海竜の休暇",7,0,
eternal.xml,427703665,"【危険度6】一触即爆の証
激走！轟竜",7,0,
eternal.xml,1853427175,"【危険度7】一触即爆の証
全てを蝕む白",7,0,
eternal.xml,4028471364,"【危険度8】一触即爆の証
君臨する暴君",7,0,
eternal.xml,2266671314,"【危険度9】一触即爆の証
集まる蝕龍蟲",7,0,
eternal.xml,504625512,"【危険度10】一触即爆の証
解放されし力",7,0,
eternal.xml,1762970110,"【危険度10】一触即爆の証
翠色の水の主",7,0,
eternal.xml,4188787823,"【危険度10】一触即爆の証
二つの炎を操る者",7,0,
eternal.xml,2393695481,"【危険度10】一触即爆の証
逆襲の一太刀",7,0,
eternal.xml,3697086366,"【危険度11】一触即爆の証
証を守りし砕竜",7,0,
event.xml,2532454649,"【初級】
練糸素材ツアー",2,0,
event.xml,268132675,"【中級】
練糸素材ツアー",2,0,
event.xml,2029801941,"【上級】
練糸素材ツアー",2,0,
event.xml,2494860960,"【初級】
樹木素材ツアー",2,0,
event.xml,230547226,"【中級】
樹木素材ツアー",2,0,
event.xml,2059071372,"【上級】
樹木素材ツアー",2,0,
event.xml,2507596951,"【初級】
染料素材ツアー",2,0,
event.xml,209696045,"【中級】
染料素材ツアー",2,0,
event.xml,2071496123,"【上級】
染料素材ツアー",2,0,
event.xml,2419716626,"【初級】
炭素材ツアー",2,0,
event.xml,154182568,"【中級】
炭素材ツアー",2,0,
event.xml,2117571390,"【上級】
炭素材ツアー",2,0,
event.xml,2449184805,"【初級】
換金素材ツアー",2,0,
event.xml,150129055,"【中級】
換金素材ツアー",2,0,
event.xml,2146826505,"【上級】
換金素材ツアー",2,0,
event.xml,2878478665,"【ドスジャギィ】
装備収集クエスト",2,0,
event.xml,849037555,"【アオアシラ】
装備収集クエスト",2,0,
event.xml,1167882341,"【ウルクスス】
装備収集クエスト",2,0,
event.xml,3690524102,"【ラングロトラ】
装備収集クエスト",2,0,
event.xml,2902449488,"【クルペッコ】
装備収集クエスト",2,0,
event.xml,905350378,"【ボルボロス】
装備収集クエスト",2,0,
event.xml,2849285904,"【中級】
襲来！チャナガブル！",2,0,
event.xml,819852970,"【上級】
襲来！チャナガブル！",2,0,
event.xml,2820066599,"【中級】
襲来！ロアルドロス！",2,0,
event.xml,824155293,"【上級】
襲来！ロアルドロス！",2,0,
event.xml,2908347298,"【中級】
襲来！ベリオロス！",2,0,
event.xml,877693464,"【上級】
襲来！ベリオロス！",2,0,
event.xml,2895884693,"【中級】
襲来！ラギアクルス！",2,0,
